[2026-05-03 17:23:44] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:44] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:45] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:45] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 17:23:46] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:47] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:47] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 17:23:48] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:48] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:49] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:50] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 17:23:50] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:51] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:52] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:52] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 17:23:53] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:23:53] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 17:24:19] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:09:15] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:09:30] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:09:57] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:09] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:29] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:38] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:38] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:39] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:39] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 18:10:40] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:41] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:41] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 18:10:41] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:42] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:43] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:43] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 18:10:44] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:45] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:45] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:45] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 18:10:46] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:47] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:47] [ALERTA] SYN Flood | IP: 127.0.0.1 | 20 pacotes SYN em 3 segundos
[2026-05-03 18:10:47] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:10:50] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:11:08] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:11:29] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:11:45] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:12:08] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:12:25] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:12:44] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:13:02] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:13:18] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:13:38] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:13:54] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:14:18] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:14:34] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:14:54] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:15:14] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:15:30] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:15:58] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
[2026-05-03 18:16:10] [ALERTA] Port Scan | IP: 127.0.0.1 | 15 portas únicas acessadas
